90,CIPKA 80, ,M,0.00,0.00,0,0
91,CIPKA 60, ,M,0.00,0.00,0,0
92,CIPKA 120, ,M,0.00,0.00,0,0
93,LASTIH, ,M,0.00,0.00,0,0
94,VUNICA TRIO, ,KOM,340.00,0.00,0,0
95,VUNICA FILIGREE, ,KOM,0.00,0.00,0,0
96,VUNICA RIBBONS COLOR,,KOM,340.00,0.00,3,3
97,VUNICA SASHAY METALLIC, ,KOM,0.00,0.00,0,0
98,VILEDON TRAKA,,KOM,1.00,0.00,35.76,35.76
99,VUN.DENVER COLOR, ,KOM,0.00,0.00,0,0
100,TRAKA 30, ,M,60.00,0.00,0,0
101,NAPRSTAK, ,M,0.00,0.00,0,0
102,VUNICA SWERVE, ,KOM,0.00,0.00,0,0
103,VUNICA FIZZLE,,KOM,435.00,0.00,2,2
104,NARAMENICE, ,KOM,0.00,0.00,0,0
105,NARAMENICE, ,KOM,0.00,0.00,0,0
106,APLIKACIJE, ,KOM,0.00,0.00,0,0
107,KONAC MOON 1000, ,KOM,0.00,0.00,0,0
108,UKRASNA TRAKA, ,M,0.00,0.00,0,0
109,ZENSKA MAJICA DEZEN,,KOM,475.00,0.00,4,4
110,DIANA H.HOP 40 DEN., ,KOM,100.00,0.00,-1,1
111,VUNICA TETEKS DORIS, ,KOM,0.00,0.00,0,0
112,TINA H.HOP,,KOM,150.00,0.00,0,1
113,D.Z.KOMPLET                        , ,KOM,420.00,0.00,3,6
114,NAG.Z.SLIP 2007/1                  ,,KOM,345.00,0.00,1,6
115,IGLE ZA GOBLENE, ,KOM,0.00,0.00,0,0
116,DECIJA SOKNA NIKOL 8-12, ,KOM,0.00,0.00,0,0
117,DECIJA SOKNA NIKOL 14-16, ,KOM,0.00,0.00,0,0
118,IGLE ZA STRIKANJE                  , ,KOM,200.00,0.00,0,0
119,IGLE ZA STRIKANJE                  , ,KOM,250.00,0.00,-2,0
120,IGLE ZA STRIKANKJE                 , ,KOM,320.00,0.00,8,10
121,PARALICA VELIKA, ,KOM,0.00,0.00,0,0
122,DECJI H.HOP 30D KAST 142           , ,KOM,235.00,0.00,25,8
123,SANTIMETAR, ,KOM,0.00,0.00,0,0
124,PARALICA, ,KOM,0.00,0.00,0,0
125,KOPCE ZA SUKNJE, ,PAK,0.00,0.00,0,0
126,KOPCE ZA M.PANTALONE, ,PAK,0.00,0.00,0,0
127,DRIKERI, ,PAK,0.00,0.00,0,0
128,MAKAZE, ,KOM,0.00,0.00,0,0
129,ZENSKE BOX DEZEN, ,KOM,315.00,0.00,0,0
130,SPULNE                             , ,KOM,1730.00,0.00,0,0
131,SPULNE, ,KOM,0.00,0.00,0,0
132,ZENSKI SLIP DEZEN                  ,,KOM,120.00,0.00,70,37
133,STOPERI I KRAJ ZA UCKUR, ,KOM,0.00,0.00,0,0
134,JASTUCE ZA CIODE,,KOM,1230.00,0.00,0,0
135,RADLA, ,KOM,0.00,0.00,0,0
136,KREDA, ,KOM,0.00,0.00,0,0
137,NAPRSTAK, ,KOM,0.00,0.00,0,0
138,TEKSTILNI CVET, ,KOM,0.00,0.00,0,0
139,DECJ. ZENS.BOX 12-14, ,KOM,0.00,0.00,0,0
140,SLJOKICE, ,KOM,0.00,0.00,0,0
141,PERTLA 60,,KOM,25.00,0.00,5,5
142,PERTLA 90, ,PAR,0.00,0.00,0,0
143,PERTLA 120, ,PAR,0.00,0.00,0,0
144,RAJFISLUS 18-20, ,KOM,0.00,0.00,0,0
145,RAJF.OBICNI 50, ,KOM,0.00,0.00,0,0
146,RAJF.SKRIVENI 20, ,KOM,0.00,0.00,0,0
147,RAJF.SKRIVENI 22, ,KOM,0.00,0.00,0,0
148,RAJF.SKRIVENI 50, ,KOM,0.00,0.00,0,0
149,RAJF.SKRIVENI 60, ,KOM,0.00,0.00,0,0
150,RAJ.SPIRALNI, ,KOM,0.00,0.00,0,0
151,RAJF.LIVENI, ,KOM,0.00,0.00,0,0
152,RAJF.METALNI, ,KOM,0.00,0.00,0,0
153,RAJF MESINGANI, ,KOM,0.00,0.00,0,0
154,TROBOJKA, ,M,0.00,0.00,0,0
155,FISBAJN, ,KOM,0.00,0.00,0,0
156,RESE, ,KOM,0.00,0.00,0,0
157,SATEN TRAKA 1,,KOM,1.00,0.00,37.42,37.42
158,SATEN TRAKA 2,,KOM,1.00,0.00,23.8,23.8
159,SATEN TRAKA 3, ,M,0.00,0.00,0,0
160,ORGANDIN NA LASTISU,,KOM,50.00,0.00,48.24,48.24
161,ORGANDIN NA LASTISU,,KOM,60.00,0.00,13.45,13.45
162,ORGANDIN TRAKA,,KOM,50.00,0.00,43.7,43.7
163,ORGANDIN TRAKA, ,M,0.00,0.00,0,0
164,TRAKE SRMA, ,M,0.00,0.00,0,0
165,APLIKACIJA TERMO,,KOM,60.00,0.00,1,1
166,TRAKA SRMA 2,,KOM,1.00,0.00,23.3,23.3
167,TRAKA SRMA 1, ,M,0.00,0.00,0,0
168,SATEN TRAKA SRMA,,KOM,50.00,0.00,59.8,59.8
169,KONAC 200M STANDARD, ,KOM,40.00,0.00,9,0
170,CIF METALNI 10-30CM, ,KOM,0.00,0.00,-1,0
171,KONAC 900M STANDARD, ,KOM,0.00,0.00,0,0
172,APLIKACIJA MALA, ,KOM,0.00,0.00,0,0
173,CIPKA, ,M,0.00,0.00,0,0
174,KONAC NO 300M,,KOM,145.00,0.00,0,10
176,RADLA, ,KOM,0.00,0.00,0,0
177,CIP METALNI 6-9, ,KOM,0.00,0.00,0,0
178,KONAC ELASTICNI, ,KOM,0.00,0.00,0,0
179,IGLA SA KRIVOM, ,KOM,0.00,0.00,0,0
180,DECIJA DOKOLENICA 4-6              ,,KOM,155.00,0.00,9,12
181,DECIJA DOKOLENICA 8-12             ,,KOM,190.00,0.00,10,13
182,MUSKA CARAPA ELEGANCE              ,,KOM,180.00,0.00,69,61
183,SPENADLA, ,KOM,0.00,0.00,0,0
184,IGLA RUCNA, ,KOM,0.00,0.00,0,0
185,IGLE ZA STRIKANJE                  , ,KOM,340.00,0.00,-1,0
186,IGLA RUCNA OKRUGLA, ,KOM,0.00,0.00,0,0
190,GAIA 276 LIABEL BRUS,,KOM,1100.00,0.00,1,1
191,RAJFISLUS OBICNI 26-70, ,KOM,0.00,0.00,0,0
192,RAJFISLUS SKRIVENI 26-70, ,KOM,0.00,0.00,0,0
193,ANDREA ZEN.CARAPA                  ,,KOM,520.00,0.00,12,1
194,CSP DEY 15,,KOM,215.00,0.00,4,4
195,Z.H.HOP LUREX,,KOM,335.00,0.00,1,1
196,h.hop roma                         ,,KOM,250.00,0.00,5,5
197,CSP DEY 20,,KOM,220.00,0.00,2,2
198,LASTEZ 1.5CM,,KOM,1.00,0.00,25.5,25.5
199,LASTIZ 9MM, ,KOM,0.00,0.00,0,0
200,LASTIZ 4MM 5M, ,PAK,0.00,0.00,0,0
201,LASTIZ 7MM 5M, ,PAK,0.00,0.00,0,0
202,LASTIZ 8MM 5M, ,PAK,0.00,0.00,0,0
203,LASTIZ 10MM 5M, ,PAK,0.00,0.00,0,0
204,LASTIZ 12MM 5M, ,PAK,0.00,0.00,0,0
205,CIRKONI, ,M,150.00,0.00,0,0
206,SLJIKICE, ,M,0.00,0.00,0,0
207,HULA HIP 20DEN, ,KOM,0.00,0.00,0,0
208,Z.SLIP                             , ,KOM,180.00,0.00,0,0
209,M.PIDZAMA 70135, ,KOM,0.00,0.00,0,0
210,Z.PIDZAMA, ,KOM,1420.00,0.00,0,0
211,m.body rolka                       , ,KOM,1160.00,0.00,2,2
212,GAMBALETTO FUTURO 20DEN,,KOM,135.00,0.00,1,1
213,STEP NAZUVICA                      ,,KOM,65.00,0.00,18,31
214,D.Z.BODI 2-6, ,KOM,0.00,0.00,0,0
215,D.Z.BODI 8-10 2670, ,KOM,0.00,0.00,0,0
216,SINFONIA 15DEN, ,KOM,0.00,0.00,0,0
217,sportska carapa                    ,,KOM,135.00,0.00,-2,4
218,z.sokna kast                       ,,KOM,250.00,0.00,14,6
219,SPORTY NAZUVICA, ,KOM,0.00,0.00,0,0
220,MICRO 20DEN, ,KOM,0.00,0.00,0,0
221,RELAX 20 DEN, ,KOM,0.00,0.00,0,0
222,PRINCESS 20 GLAMUR, ,KOM,0.00,0.00,0,0
223,SILHOUETTE 20DEN, ,KOM,0.00,0.00,0,0
224,VUNICA SNEZANA, ,KG,0.00,0.00,0,0
225,CICLAMINO 15, ,KOM,0.00,0.00,0,0
226,ECO 20                             ,,KOM,380.00,0.00,26,9
227,EDERA 15                           ,,KOM,210.00,0.00,80,35
228,PRINCESS 20 GLAMUR                 ,,KOM,480.00,0.00,6,4
229,MICRORETE GLAMOUR                  ,,KOM,490.00,0.00,8,1
230,POSITIVEORESSE 30                  ,,KOM,310.00,0.00,35,2
231,SALVAPIEDE COTONE NAZUVCI, ,KOM,0.00,0.00,0,0
232,PINOCCHIETTO BABA, ,KOM,0.00,0.00,0,0
233,GLORIA H.HOP                       ,,KOM,540.00,0.00,6,5
234,POMPEA H.HOP, ,KOM,0.00,0.00,0,0
235,DECJ.ZENSKE BOX.8-10,,KOM,250.00,0.00,0,0
236,POMPEA Z.HULA HOP, ,KOM,0.00,0.00,0,0
237,POSITIVEPRESS 70DEN                ,,KOM,395.00,0.00,14,11
238,POMPEA Z.HULA HOP, ,KOM,0.00,0.00,0,0
239,CIPKA, ,M,0.00,0.00,0,0
240,DECJ.ZENS.BOXER 4-6, ,KOM,0.00,0.00,0,0
241,MUSKA ATLET MAJICA                 ,,KOM,370.00,0.00,35,19
242,GUAINA PANTY UP MAXI               ,,KOM,600.00,0.00,0,2
243,LANAC, ,M,0.00,0.00,0,0
244,D.Z.MAJICA 4-6 4143, ,KOM,0.00,0.00,0,0
245,GUAINA PANTY UP                    ,,KOM,550.00,0.00,2,2
246,CIPKA SINTET., ,M,0.00,0.00,0,0
247,MIA STEZNIK, ,KOM,0.00,0.00,0,0
248,DECIJE DOKOLENICE DEZEN 137        ,,KOM,185.00,0.00,17,19
249,D.Z.MAJICA 8-10 4143, ,M,0.00,0.00,0,0
250,SINT.CIPKA,,KOM,60.00,0.00,9,9
251,CIPKA, ,M,0.00,0.00,0,0
252,UKRASNA TRAKA, ,M,0.00,0.00,0,0
253,PERLICE,,KOM,0.50,0.00,360,360
254,PERLICE, ,KOM,0.00,0.00,0,0
255,PERLICE, ,KOM,0.00,0.00,0,0
256,PERLICE, ,KOM,0.00,0.00,0,0
257,PERLICE, ,KOM,0.00,0.00,0,0
258,PERLICE, ,KOM,0.00,0.00,0,0
259,CVETICI, ,KOM,0.00,0.00,0,0
260,RUZICE, ,KOM,0.00,0.00,0,0
261,Z.MAJICA,,KOM,500.00,0.00,0,1
262,D.Z.MAJICA 2261 2262, ,KOM,0.00,0.00,0,0
263,Z.PIDZAMA DARIJA, ,KOM,0.00,0.00,0,0
264,DEC.HULAHOP CVET SLONCE, ,KOM,0.00,0.00,0,0
265,HAREM H.HOP, ,KOM,0.00,0.00,0,0
266,z.nazuvak porto                    ,,KOM,90.00,0.00,0,1
267,MARTA HUL.HOP 20DEN, ,KOM,0.00,0.00,-4,4
268,DECIJI HULA HOP, ,KOM,0.00,0.00,0,0
269,DUGME, ,KOM,0.00,0.00,0,0
270,DUGME, ,KOM,0.00,0.00,0,0
271,ZENSKA SOKNA 2 PARA 15, ,KOM,0.00,0.00,0,0
272,NAZUVICA DEZEN,,KOM,125.00,0.00,-75,42
273,POSITIVEPRESS 50                   ,,KOM,330.00,0.00,29,3
274,Z.PIZAMA LUCIJA 10-14, ,KOM,0.00,0.00,0,0
275,BEBI CARAPA                        ,,KOM,110.00,0.00,25,1
276,M.BOK.SPORT                        ,,KOM,580.00,0.00,32,19
277,MUSKA BOKSERICA                    ,,KOM,550.00,0.00,25,33
278,MUSKI SLIP                         ,,KOM,460.00,0.00,34,26
279,M.SLIP SPORT                       ,,KOM,490.00,0.00,19,18
280,MUSKA ATLET MAJ.                   ,,KOM,470.00,0.00,33,12
281,BODY USKE BRET.                    ,,KOM,725.00,0.00,3,5
282,Z.MAJICA USKA.BRAT                 ,,KOM,520.00,0.00,30,4
283,ZENSKE BOKSERICE                   ,,KOM,330.00,0.00,4,4
284,ZENSKI SLIP                        ,,KOM,330.00,0.00,9,2
285,MUSKA KIMONO MAJICA                ,,KOM,670.00,0.00,1,2
286,Z.ATLET MAJICA, ,KOM,0.00,0.00,0,0
287,M.PIDZAMA DAVID KRAT.RUKAV, ,KOM,0.00,0.00,0,0
288,D.Z.GACE CLASIC 12-14, ,KOM,0.00,0.00,0,0
289,D.Z.GACE CLASIC 4-6                , ,KOM,80.00,0.00,0,0
290,D.Z.GACE DLASIC 8-10, ,KOM,0.00,0.00,0,0
291,D.Z.GACE CLASIC 12-14, ,KOM,0.00,0.00,0,0
292,D.ZENSKI SLIP 8-10, ,KOM,0.00,0.00,0,0
293,D.M.KOMPLET 4-6, ,KOM,0.00,0.00,0,0
294,D.ZENSKI SLIP 4-6, ,KOM,0.00,0.00,0,0
295,D.Z.PIZAMA FS 3-6, ,KOM,0.00,0.00,0,0
296,D.Z.PIZAMA FS 8-10, ,KOM,0.00,0.00,0,0
297,D.Z.MAJICA 12-14, ,KOM,0.00,0.00,0,0
298,D.Z.MAJICA 8-10, ,KOM,0.00,0.00,0,0
299,D.Z.MAJICA 4-6, ,KOM,0.00,0.00,0,0
300,D.Z.KOMPLET F 4-6,,KOM,350.00,0.00,1,1
301,D.Z.KOMPLET ROMANCE 4-6, ,KOM,0.00,0.00,0,0
302,D.Z.KOMPLET ROMANCE 8-10, ,KOM,380.00,0.00,0,0
303,D.Z.KOMPLET ROMANCE 12-14, ,KOM,0.00,0.00,0,0
